text,label
"The day passed much as the day before had done. Mrs. Hurst and Miss
Bingley had spent some hours of the morning with the invalid, who
continued, though slowly, to mend; and, in the evening, Elizabeth joined
their party in the drawing-room. The loo table, however, did not appear.
Mr. Darcy was writing, and Miss Bingley, seated near him, was watching
the progress of his letter, and repeatedly calling off his attention by
messages to his sister. Mr. Hurst and Mr. Bingley were at piquet, and
Mrs. Hurst was observing their game.",human
"Elizabeth took up some needlework, and was sufficiently amused in
attending to what passed between Darcy and his companion. The perpetual
commendations of the lady either on his hand-writing, or on the evenness
of his lines, or on the length of his letter, with the perfect unconcern
with which her praises were received, formed a curious dialogue, and was
exactly in unison with her opinion of each.",human
“How delighted Miss Darcy will be to receive such a letter!”,human
He made no answer.,human
“You write uncommonly fast.”,human
“You are mistaken. I write rather slowly.”,human
"“How many letters you must have occasion to write in the course of a
year! Letters of business, too! How odious I should think them!”",human
"“It is fortunate, then, that they fall to my lot instead of to yours.”",human
“Pray tell your sister that I long to see her.”,human
"“I have already told her so once, by your desire.”",human
"“I am afraid you do not like your pen. Let me mend it for you. I mend
pens remarkably well.”",human
“Thank you--but I always mend my own.”,human
“How can you contrive to write so even?”,human
He was silent.,human
"“Tell your sister I am delighted to hear of her improvement on the harp,
and pray let her know that I am quite in raptures with her beautiful
little design for a table, and I think it infinitely superior to Miss
Grantley’s.”",human
"“Will you give me leave to defer your raptures till I write again? At
present I have not room to do them justice.”",human
"“Oh, it is of no consequence. I shall see her in January. But do you
always write such charming long letters to her, Mr. Darcy?”",human
"“They are generally long; but whether always charming, it is not for me
to determine.”",human
"“It is a rule with me, that a person who can write a long letter with
ease cannot write ill.”",human
"“That will not do for a compliment to Darcy, Caroline,” cried her
brother, “because he does _not_ write with ease. He studies too much
for words of four syllables. Do not you, Darcy?”",human
“My style of writing is very different from yours.”,human
"“Oh,” cried Miss Bingley, “Charles writes in the most careless way
imaginable. He leaves out half his words, and blots the rest.”",human
"“My ideas flow so rapidly that I have not time to express them; by which
means my letters sometimes convey no ideas at all to my correspondents.”",human
"“Your humility, Mr. Bingley,” said Elizabeth, “must disarm reproof.”",human
"“Nothing is more deceitful,” said Darcy, “than the appearance of
humility. It is often only carelessness of opinion, and sometimes an
indirect boast.”",human
“And which of the two do you call _my_ little recent piece of modesty?”,human
"“The indirect boast; for you are really proud of your defects in
writing, because you consider them as proceeding from a rapidity of
thought and carelessness of execution, which, if not estimable, you
think at least highly interesting. The power of doing anything with
quickness is always much prized by the possessor, and often without any
attention to the imperfection of the performance. When you told Mrs.
Bennet this morning, that if you ever resolved on quitting Netherfield
you should be gone in five minutes, you meant it to be a sort of
panegyric, of compliment to yourself; and yet what is there so very
laudable in a precipitance which must leave very necessary business
undone, and can be of no real advantage to yourself or anyone else?”",human
"“Nay,” cried Bingley, “this is too much, to remember at night all the
foolish things that were said in the morning. And yet, upon my honour, I
believed what I said of myself to be true, and I believe it at this
moment. At least, therefore, I did not assume the character of needless
precipitance merely to show off before the ladies.”",human
"“I daresay you believed it; but I am by no means convinced that you
would be gone with such celerity. Your conduct would be quite as
dependent on chance as that of any man I know; and if, as you were
mounting your horse, a friend were to say, ‘Bingley, you had better stay
till next week,’ you would probably do it--you would probably not
go--and, at another word, might stay a month.”",human
"“You have only proved by this,” cried Elizabeth, “that Mr. Bingley did
not do justice to his own disposition. You have shown him off now much
more than he did himself.”",human
"“I am exceedingly gratified,” said Bingley, “by your converting what my
friend says into a compliment on the sweetness of my temper. But I am
afraid you are giving it a turn which that gentleman did by no means
intend; for he would certainly think the better of me if, under such a
circumstance, I were to give a flat denial, and ride off as fast as I
could.”",human
"“Would Mr. Darcy then consider the rashness of your original intention
as atoned for by your obstinacy in adhering to it?”",human
"“Upon my word, I cannot exactly explain the matter--Darcy must speak for
himself.”",human
"“You expect me to account for opinions which you choose to call mine,
but which I have never acknowledged. Allowing the case, however, to
stand according to your representation, you must remember, Miss Bennet,
that the friend who is supposed to desire his return to the house, and
the delay of his plan, has merely desired it, asked it without offering
one argument in favour of its propriety.”",human
"“To yield readily--easily--to the _persuasion_ of a friend is no merit
with you.”",human
"“To yield without conviction is no compliment to the understanding of
either.”",human
"“You appear to me, Mr. Darcy, to allow nothing for the influence of
friendship and affection. A regard for the requester would often make
one readily yield to a request, without waiting for arguments to reason
one into it. I am not particularly speaking of such a case as you have
supposed about Mr. Bingley. We may as well wait, perhaps, till the
circumstance occurs, before we discuss the discretion of his behaviour
thereupon. But in general and ordinary cases, between friend and friend,
where one of them is desired by the other to change a resolution of no
very great moment, should you think ill of that person for complying
with the desire, without waiting to be argued into it?”",human
"“Will it not be advisable, before we proceed on this subject, to arrange
with rather more precision the degree of importance which is to
appertain to this request, as well as the degree of intimacy subsisting
between the parties?”",human
"“By all means,” cried Bingley; “let us hear all the particulars, not
forgetting their comparative height and size, for that will have more
weight in the argument, Miss Bennet, than you may be aware of. I assure
you that if Darcy were not such a great tall fellow, in comparison with
myself, I should not pay him half so much deference. I declare I do not
know a more awful object than Darcy on particular occasions, and in
particular places; at his own house especially, and of a Sunday evening,
when he has nothing to do.”",human
"Mr. Darcy smiled; but Elizabeth thought she could perceive that he was
rather offended, and therefore checked her laugh. Miss Bingley warmly
resented the indignity he had received, in an expostulation with her
brother for talking such nonsense.",human
"“I see your design, Bingley,” said his friend. “You dislike an argument,
and want to silence this.”",human
"“Perhaps I do. Arguments are too much like disputes. If you and Miss
Bennet will defer yours till I am out of the room, I shall be very
thankful; and then you may say whatever you like of me.”",human
"“What you ask,” said Elizabeth, “is no sacrifice on my side; and Mr.
Darcy had much better finish his letter.”",human
"Mr. Darcy took her advice, and did finish his letter.",human
"When that business was over, he applied to Miss Bingley and Elizabeth
for the indulgence of some music. Miss Bingley moved with alacrity to
the pianoforte, and after a polite request that Elizabeth would lead the
way, which the other as politely and more earnestly negatived, she
seated herself.",human
"Mrs. Hurst sang with her sister; and while they were thus employed,
Elizabeth could not help observing, as she turned over some music-books
that lay on the instrument, how frequently Mr. Darcy’s eyes were fixed
on her. She hardly knew how to suppose that she could be an object of
admiration to so great a man, and yet that he should look at her because
he disliked her was still more strange. She could only imagine, however,
at last, that she drew his notice because there was something about her
more wrong and reprehensible, according to his ideas of right, than in
any other person present. The supposition did not pain her. She liked
him too little to care for his approbation.",human
"After playing some Italian songs, Miss Bingley varied the charm by a
lively Scotch air; and soon afterwards Mr. Darcy, drawing near
Elizabeth, said to her,--",human
"“Do you not feel a great inclination, Miss Bennet, to seize such an
opportunity of dancing a reel?”",human
"She smiled, but made no answer. He repeated the question, with some
surprise at her silence.",human
"“Oh,” said she, “I heard you before; but I could not immediately
determine what to say in reply. You wanted me, I know, to say ‘Yes,’
that you might have the pleasure of despising my taste; but I always
delight in overthrowing those kind of schemes, and cheating a person of
their premeditated contempt. I have, therefore, made up my mind to tell
you that I do not want to dance a reel at all; and now despise me if you
dare.”",human
“Indeed I do not dare.”,human
"Elizabeth, having rather expected to affront him, was amazed at his
gallantry; but there was a mixture of sweetness and archness in her
manner which made it difficult for her to affront anybody, and Darcy had
never been so bewitched by any woman as he was by her. He really
believed that, were it not for the inferiority of her connections, he
should be in some danger.",human
"Miss Bingley saw, or suspected, enough to be jealous; and her great
anxiety for the recovery of her dear friend Jane received some
assistance from her desire of getting rid of Elizabeth.",human
"She often tried to provoke Darcy into disliking her guest, by talking of
their supposed marriage, and planning his happiness in such an alliance.",human
"“I hope,” said she, as they were walking together in the shrubbery the
next day, “you will give your mother-in-law a few hints, when this
desirable event takes place, as to the advantage of holding her tongue;
and if you can compass it, to cure the younger girls of running after
the officers. And, if I may mention so delicate a subject, endeavour to
check that little something, bordering on conceit and impertinence,
which your lady possesses.”",human
“Have you anything else to propose for my domestic felicity?”,human
"“Oh yes. Do let the portraits of your uncle and aunt Philips be placed
in the gallery at Pemberley. Put them next to your great-uncle the
judge. They are in the same profession, you know, only in different
lines. As for your Elizabeth’s picture, you must not attempt to have it
taken, for what painter could do justice to those beautiful eyes?”",human
"“It would not be easy, indeed, to catch their expression; but their
colour and shape, and the eyelashes, so remarkably fine, might be
copied.”",human
"At that moment they were met from another walk by Mrs. Hurst and
Elizabeth herself.",human
"“I did not know that you intended to walk,” said Miss Bingley, in some
confusion, lest they had been overheard.",human
"“You used us abominably ill,” answered Mrs. Hurst, “running away without
telling us that you were coming out.”",human
"Then taking the disengaged arm of Mr. Darcy, she left Elizabeth to walk
by herself. The path just admitted three. Mr. Darcy felt their rudeness,
and immediately said,--",human
"“This walk is not wide enough for our party. We had better go into the
avenue.”",human
"But Elizabeth, who had not the least inclination to remain with them,
laughingly answered,--",human
"“No, no; stay where you are. You are charmingly grouped, and appear to
uncommon advantage. The picturesque would be spoilt by admitting a
fourth. Good-bye.”",human
"She then ran gaily off, rejoicing, as she rambled about, in the hope of
being at home again in a day or two. Jane was already so much recovered
as to intend leaving her room for a couple of hours that evening.",human
CHAPTER II.,human
[Illustration],human
"Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He
had always intended to visit him, though to the last always assuring his
wife that he should not go; and till the evening after the visit was
paid she had no knowledge of it. It was then disclosed in the following
manner. Observing his second daughter employed in trimming a hat, he
suddenly addressed her with,--",human
"“I hope Mr. Bingley will like it, Lizzy.”",human
"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother,
resentfully, “since we are not to visit.”",human
"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the
assemblies, and that Mrs. Long has promised to introduce him.”",human
"“I do not believe Mrs. Long will do any such thing. She has two nieces
of her own. She is a selfish, hypocritical woman, and I have no opinion
of her.”",human
"“No more have I,” said Mr. Bennet; “and I am glad to find that you do
not depend on her serving you.”",human
"Mrs. Bennet deigned not to make any reply; but, unable to contain
herself, began scolding one of her daughters.",human
"“Don’t keep coughing so, Kitty, for heaven’s sake! Have a little
compassion on my nerves. You tear them to pieces.”",human
"“Kitty has no discretion in her coughs,” said her father; “she times
them ill.”",human
"“I do not cough for my own amusement,” replied Kitty, fretfully. “When
is your next ball to be, Lizzy?”",human
“To-morrow fortnight.”,human
"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till
the day before; so, it will be impossible for her to introduce him, for
she will not know him herself.”",human
"“Then, my dear, you may have the advantage of your friend, and introduce
Mr. Bingley to _her_.”",human
"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him
myself; how can you be so teasing?”",human
"“I honour your circumspection. A fortnight’s acquaintance is certainly
very little. One cannot know what a man really is by the end of a
fortnight. But if _we_ do not venture, somebody else will; and after
all, Mrs. Long and her nieces must stand their chance; and, therefore,
as she will think it an act of kindness, if you decline the office, I
will take it on myself.”",human
"The girls stared at their father. Mrs. Bennet said only, “Nonsense,
nonsense!”",human
"“What can be the meaning of that emphatic exclamation?” cried he. “Do
you consider the forms of introduction, and the stress that is laid on
them, as nonsense? I cannot quite agree with you _there_. What say you,
Mary? For you are a young lady of deep reflection, I know, and read
great books, and make extracts.”",human
"Mary wished to say something very sensible, but knew not how.",human
"“While Mary is adjusting her ideas,” he continued, “let us return to Mr.
Bingley.”",human
"“I am sick of Mr. Bingley,” cried his wife.",human
"“I am sorry to hear _that_; but why did you not tell me so before? If I
had known as much this morning, I certainly would not have called on
him. It is very unlucky; but as I have actually paid the visit, we
cannot escape the acquaintance now.”",human
"The astonishment of the ladies was just what he wished--that of Mrs.
Bennet perhaps surpassing the rest; though when the first tumult of joy
was over, she began to declare that it was what she had expected all the
while.",human
"“How good it was in you, my dear Mr. Bennet! But I knew I should
persuade you at last. I was sure you loved your girls too well to
neglect such an acquaintance. Well, how pleased I am! And it is such a
good joke, too, that you should have gone this morning, and never said a
word about it till now.”",human
"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and,
as he spoke, he left the room, fatigued with the raptures of his wife.",human
"“What an excellent father you have, girls,” said she, when the door was
shut. “I do not know how you will ever make him amends for his kindness;
or me either, for that matter. At our time of life, it is not so
pleasant, I can tell you, to be making new acquaintances every day; but
for your sakes we would do anything. Lydia, my love, though you _are_
the youngest, I dare say Mr. Bingley will dance with you at the next
ball.”",human
"“Oh,” said Lydia, stoutly, “I am not afraid; for though I _am_ the
youngest, I’m the tallest.”",human
"The rest of the evening was spent in conjecturing how soon he would
return Mr. Bennet’s visit, and determining when they should ask him to
dinner.",human
"Not all that Mrs. Bennet, however, with the assistance of her five
daughters, could ask on the subject, was sufficient to draw from her
husband any satisfactory description of Mr. Bingley. They attacked him
in various ways, with barefaced questions, ingenious suppositions, and
distant surmises; but he eluded the skill of them all; and they were at
last obliged to accept the second-hand intelligence of their neighbour,
Lady Lucas. Her report was highly favourable. Sir William had been
delighted with him. He was quite young, wonderfully handsome, extremely
agreeable, and, to crown the whole, he meant to be at the next assembly
with a large party. Nothing could be more delightful! To be fond of
dancing was a certain step towards falling in love; and very lively
hopes of Mr. Bingley’s heart were entertained.",human
"“If I can but see one of my daughters happily settled at Netherfield,”
said Mrs. Bennet to her husband, “and all the others equally well
married, I shall have nothing to wish for.”",human
"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten
minutes with him in his library. He had entertained hopes of being
admitted to a sight of the young ladies, of whose beauty he had heard
much; but he saw only the father. The ladies were somewhat more
fortunate, for they had the advantage of ascertaining, from an upper
window, that he wore a blue coat and rode a black horse.",human
"An invitation to dinner was soon afterwards despatched; and already had
Mrs. Bennet planned the courses that were to do credit to her
housekeeping, when an answer arrived which deferred it all. Mr. Bingley
was obliged to be in town the following day, and consequently unable to
accept the honour of their invitation, etc. Mrs. Bennet was quite
disconcerted. She could not imagine what business he could have in town
so soon after his arrival in Hertfordshire; and she began to fear that
he might always be flying about from one place to another, and never
settled at Netherfield as he ought to be. Lady Lucas quieted her fears a
little by starting the idea of his being gone to London only to get a large party for the ball; and a
report soon followed that Mr. Bingley was to bring twelve ladies and
seven gentlemen with him to the assembly. The girls grieved over such a
number of ladies; but were comforted the day before the ball by hearing
that, instead of twelve, he had brought only six with him from London,
his five sisters and a cousin. And when the party entered the
assembly-room, it consisted of only five altogether: Mr. Bingley, his
two sisters, the husband of the eldest, and another young man.",human
"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant
countenance, and easy, unaffected manners. His sisters were fine women,
with an air of decided fashion. His brother-in-law, Mr. Hurst, merely
looked the gentleman; but his friend Mr. Darcy soon drew the attention
of the room by his fine, tall person, handsome features, noble mien, and
the report, which was in general circulation within five minutes after
his entrance, of his having ten thousand a year. The gentlemen
pronounced him to be a fine figure of a man, the ladies declared he was
much handsomer than Mr. Bingley, and he was looked at with great
admiration for about half the evening, till his manners gave a disgust
which turned the tide of his popularity; for he was discovered to be
proud, to be above his company, and above being pleased; and not all his
large estate in Derbyshire could save him from having a most forbidding,
disagreeable countenance, and being unworthy to be compared with his
friend.",human
"Mr. Bingley had soon made himself acquainted with all the principal
people in the room: he was lively and unreserved, danced every dance,
was angry that the ball closed so early, and talked of giving one
himself at Netherfield. Such amiable qualities must speak for
themselves. What a contrast between him and his friend! Mr. Darcy danced
only once with Mrs. Hurst and once with Miss Bingley, declined being
introduced to any other lady, and spent the rest of the evening in
walking about the room, speaking occasionally to one of his own party.
His character was decided. He was the proudest, most disagreeable man in
the world, and everybody hoped that he would never come there again.
Amongst the most violent against him was Mrs. Bennet, whose dislike of
his general behaviour was sharpened into particular resentment by his
having slighted one of her daughters.",human
"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit
down for two dances; and during part of that time, Mr. Darcy had been
standing near enough for her to overhear a conversation between him and
Mr. Bingley, who came from the dance for a few minutes to press his
friend to join it.",human
"“Come, Darcy,” said he, “I must have you dance. I hate to see you
standing about by yourself in this stupid manner. You had much better
dance.”",human
"“I certainly shall not. You know how I detest it, unless I am
particularly acquainted with my partner. At such an assembly as this, it
would be insupportable. Your sisters are engaged, and there is not
another woman in the room whom it would not be a punishment to me to
stand up with.”",human
"“I would not be so fastidious as you are,” cried Bingley, “for a
kingdom! Upon my honour, I never met with so many pleasant girls in my
life as I have this evening; and there are several of them, you see,
uncommonly pretty.”",human
"“_You_ are dancing with the only handsome girl in the room,” said Mr.
Darcy, looking at the eldest Miss Bennet.",human
"“Oh, she is the most beautiful creature I ever beheld! But there is one
of her sisters sitting down just behind you, who is very pretty, and I
dare say very agreeable. Do let me ask my partner to introduce you.”",human
"“Which do you mean?” and turning round, he looked for a moment at
Elizabeth, till, catching her eye, he withdrew his own, and coldly said,
“She is tolerable: but not handsome enough to tempt _me_; and I am in no
humour at present to give consequence to young ladies who are slighted
by other men. You had better return to your partner and enjoy her
smiles, for you are wasting your time with me.”",human
"Mr. Bingley followed his advice. Mr. Darcy walked off; and Elizabeth
remained with no very cordial feelings towards him. She told the story,
however, with great spirit among her friends; for she had a lively,
playful disposition, which delighted in anything ridiculous.",human
"The evening altogether passed off pleasantly to the whole family. Mrs.
Bennet had seen her eldest daughter much admired by the Netherfield
party. Mr. Bingley had danced with her twice, and she had been
distinguished by his sisters. Jane was as much gratified by this as her
mother could be, though in a quieter way. Elizabeth felt Jane’s
pleasure. Mary had heard herself mentioned to Miss Bingley as the most
accomplished girl in the neighbourhood; and Catherine and Lydia had been
fortunate enough to be never without partners, which was all that they
had yet learnt to care for at a ball. They returned, therefore, in good
spirits to Longbourn, the village where they lived, and of which they
were the principal inhabitants. They found Mr. Bennet still up. With a
book, he was regardless of time; and on the present occasion he had a
good deal of curiosity as to the event of an evening which had raised
such splendid expectations. He had rather hoped that all his wife’s
views on the stranger would be disappointed; but he soon found that he
had a very different story to hear.",human
"“Oh, my dear Mr. Bennet,” as she entered the room, “we have had a most
delightful evening, a most excellent ball. I wish you had been there.
Jane was so admired, nothing could be like it. Everybody said how well
she looked; and Mr. Bingley thought her quite beautiful, and danced with
her twice. Only think of _that_, my dear: he actually danced with her
twice; and she was the only creature in the room that he asked a second
time. First of all, he asked Miss Lucas. I was so vexed to see him stand
up with her; but, however, he did not admire her at all; indeed, nobody
can, you know; and he seemed quite struck with Jane as she was going
down the dance. So he inquired who she was, and got introduced, and
asked her for the two next. Then, the two third he danced with Miss
King, and the two fourth with Maria Lucas, and the two fifth with Jane
again, and the two sixth with Lizzy, and the _Boulanger_----”",human
"“If he had had any compassion for _me_,” cried her husband impatiently,
“he would not have danced half so much! For God’s sake, say no more of
his partners. O that he had sprained his ancle in the first dance!”",human
"“Oh, my dear,” continued Mrs. Bennet, “I am quite delighted with him. He
is so excessively handsome! and his sisters are charming women. I never
in my life saw anything more elegant than their dresses. I dare say the
lace upon Mrs. Hurst’s gown----”",human
"Here she was interrupted again. Mr. Bennet protested against any
description of finery. She was therefore obliged to seek another branch
of the subject, and related, with much bitterness of spirit, and some
exaggeration, the shocking rudeness of Mr. Darcy.",human
"“But I can assure you,” she added, “that Lizzy does not lose much by not
suiting _his_ fancy; for he is a most disagreeable, horrid man, not at
all worth pleasing. So high and so conceited, that there was no enduring
him! He walked here, and he walked there, fancying himself so very
great! Not handsome enough to dance with! I wish you had been there, my
dear, to have given him one of your set-downs. I quite detest the man.”",human
"When Jane and Elizabeth were alone, the former, who had been cautious in
her praise of Mr. Bingley before, expressed to her sister how very much
she admired him.",human
"“He is just what a young-man ought to be,” said she, “sensible,
good-humoured, lively; and I never saw such happy manners! so much ease,
with such perfect good breeding!”",human
"“He is also handsome,” replied Elizabeth, “which a young man ought
likewise to be if he possibly can. His character is thereby complete.”",human
"“I was very much flattered by his asking me to dance a second time. I
did not expect such a compliment.”",human
"“Did not you? _I_ did for you. But that is one great difference between
us. Compliments always take _you_ by surprise, and _me_ never. What
could be more natural than his asking you again? He could not help
seeing that you were about five times as pretty as every other woman in
the room. No thanks to his gallantry for that. Well, he certainly is
very agreeable, and I give you leave to like him. You have liked many a
stupider person.”",human
“Dear Lizzy!”,human
"“Oh, you are a great deal too apt, you know, to like people in general.
You never see a fault in anybody. All the world are good and agreeable
in your eyes. I never heard you speak ill of a human being in my life.”",human
"“I would wish not to be hasty in censuring anyone; but I always speak
what I think.”",human
"“I know you do: and it is _that_ which makes the wonder. With _your_
good sense, to be so honestly blind to the follies and nonsense of
others! Affectation of candour is common enough; one meets with it
everywhere. But to be candid without ostentation or design,--to take the
good of everybody’s character and make it still better, and say nothing
of the bad,--belongs to you alone. And so, you like this man’s sisters,
too, do you? Their manners are not equal to his.”",human
"“Certainly not, at first; but they are very pleasing women when you
converse with them. Miss Bingley is to live with her brother, and keep
his house; and I am much mistaken if we shall not find a very charming
neighbour in her.”",human
"Elizabeth listened in silence, but was not convinced: their behaviour at
the assembly had not been calculated to please in general; and with more
quickness of observation and less pliancy of temper than her sister, and
with a judgment, too, unassailed by any attention to herself, she was
very little disposed to approve them. They were, in fact, very fine
ladies; not deficient in good-humour when they were pleased, nor in the
power of being agreeable where they chose it; but proud and conceited.
They were rather handsome; had been educated in one of the first private
seminaries in town; had a fortune of twenty thousand pounds; were in the
habit of spending more than they ought, and of associating with people
of rank; and were, therefore, in every respect entitled to think well of
themselves and meanly of others. They were of a respectable family in
the north of England; a circumstance more deeply impressed on their
memories than that their brother’s fortune and their own had been
acquired by trade.",human
"Mr. Bingley inherited property to the amount of nearly a hundred
thousand pounds from his father, who had intended to purchase an estate,
but did not live to do it. Mr. Bingley intended it likewise, and
sometimes made choice of his county; but, as he was now provided with a
good house and the liberty of a manor, it was doubtful to many of those
who best knew the easiness of his temper, whether he might not spend the
remainder of his days at Netherfield, and leave the next generation to
purchase.",human
"His sisters were very anxious for his having an estate of his own; but
though he was now established only as a tenant, Miss Bingley was by no
means unwilling to preside at his table; nor was Mrs. Hurst, who had
married a man of more fashion than fortune, less disposed to consider
his house as her home when it suited her. Mr. Bingley had not been of
age two years when he was tempted, by an accidental recommendation, to
look at Netherfield House. He did look at it, and into it, for half an
hour; was pleased with the situation and the principal rooms, satisfied
with what the owner said in its praise, and took it immediately.",human
"Between him and Darcy there was a very steady friendship, in spite of a
great opposition of character. Bingley was endeared to Darcy by the
easiness, openness, and ductility of his temper, though no disposition
could offer a greater contrast to his own, and though with his own he
never appeared dissatisfied. On the strength of Darcy’s regard, Bingley
had the firmest reliance, and of his judgment the highest opinion. In
understanding, Darcy was the superior. Bingley was by no means
deficient; but Darcy was clever. He was at the same time haughty,
reserved, and fastidious; and his manners, though well bred, were not
inviting. In that respect his friend had greatly the advantage. Bingley
was sure of being liked wherever he appeared; Darcy was continually
giving offence.",human
"The manner in which they spoke of the Meryton assembly was sufficiently
characteristic. Bingley had never met with pleasanter people or prettier
girls in his life; everybody had been most kind and attentive to him;
there had been no formality, no stiffness; he had soon felt acquainted
with all the room; and as to Miss Bennet, he could not conceive an angel
more beautiful. Darcy, on the contrary, had seen a collection of people
in whom there was little beauty and no fashion, for none of whom he had
felt the smallest interest, and from none received either attention or
pleasure. Miss Bennet he acknowledged to be pretty; but she smiled too
much.",human
"Mrs. Hurst and her sister allowed it to be so; but still they admired
her and liked her, and pronounced her to be a sweet girl, and one whom
they should not object to know more of. Miss Bennet was therefore
established as a sweet girl; and their brother felt authorized by such
commendation to think of her as he chose.",human
"Within a short walk of Longbourn lived a family with whom the Bennets
were particularly intimate. Sir William Lucas had been formerly in trade
in Meryton, where he had made a tolerable fortune, and risen to the
honour of knighthood by an address to the king during his mayoralty. The
distinction had, perhaps, been felt too strongly. It had given him a
disgust to his business and to his residence in a small market town;
and, quitting them both, he had removed with his family to a house about
a mile from Meryton, denominated from that period Lucas Lodge; where he
could think with pleasure of his own importance, and, unshackled by
business, occupy himself solely in being civil to all the world. For,
though elated by his rank, it did not render him supercilious; on the
contrary, he was all attention to everybody. By nature inoffensive,
friendly, and obliging, his presentation at St. James’s had made him
courteous.",human
"Lady Lucas was a very good kind of woman, not too clever to be a
valuable neighbour to Mrs. Bennet. They had several children. The eldest
of them, a sensible, intelligent young woman, about twenty-seven, was
Elizabeth’s intimate friend.",human
"That the Miss Lucases and the Miss Bennets should meet to talk over a
ball was absolutely necessary; and the morning after the assembly
brought the former to Longbourn to hear and to communicate.",human
"“_You_ began the evening well, Charlotte,” said Mrs. Bennet, with civil
self-command, to Miss Lucas. “_You_ were Mr. Bingley’s first choice.”",human
“Yes; but he seemed to like his second better.”,human
"“Oh, you mean Jane, I suppose, because he danced with her twice. To be
sure that _did_ seem as if he admired her--indeed, I rather believe he
_did_--I heard something about it--but I hardly know what--something
about Mr. Robinson.”",human
